"","c1_humans.v1","c1_humans.v2","c1_nonwh","c1_nonmale","c1_whmale","c1_disab","c1_nonwest","c1_landurban","c1_landcult","c1_natres","c1_ag","c1_restore","c1_recnoext","c1_recext","c1_animalnonext","c1_animalext","c1_logo"
"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0
"4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",4,4,4,0,0,0,4,0,0,1,0,0,0,0,0,0,0
"6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0
"11",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"14",3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"16",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",4,4,3,0,0,NA,3,0,0,0,4,0,0,0,0,0,0
"19",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",4,4,4,4,0,0,3,1,1,NA,0,0,0,0,0,0,0
"21",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",4,4,2,0,0,0,3,0,0,4,0,0,0,0,2,2,0
"24",4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",4,3,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0
"27",3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"28",4,4,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
"29",3,3,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0
"30",4,4,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0
"31",4,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0
"32",4,4,3,0,0,0,1,0,0,2,3,0,0,0,0,0,0
"33",4,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"34",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",4,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"36",4,4,1,0,0,0,0,0,4,0,4,0,0,0,0,0,0
"37",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"38",4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"39",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",4,4,4,0,0,0,1,0,1,0,4,0,0,0,1,3,0
"42",4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",4,4,4,4,0,0,3,0,4,0,4,0,0,0,0,0,0
"44",4,4,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0
"45",4,4,4,NA,0,0,4,0,0,0,0,0,0,0,4,0,0
"46",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"48",4,4,4,0,0,0,3,0,0,0,4,0,0,0,2,2,0
"49",3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
